source,artist,audio_filepath,method,style,test_set,title,track_id,dataset,SAR,SIR,ISR,SDR
vocals,Cnoc An Tursa,/vol/vssp/maruss/data2/MUS2017/CHA/Test/011 - Cnoc An Tursa - Bannockburn/vocals.wav,CHA,Heavy Metal,1,Bannockburn,11,MUS2016,0.8948225942754111,1.194270173829962,4.063168891266002,0.8409455674387923
vocals,Dark Ride,/vol/vssp/maruss/data2/MUS2017/CHA/Test/012 - Dark Ride - Burning Bridges/vocals.wav,CHA,Heavy Metal,1,Burning Bridges,12,MUS2016,0.7872658689023722,7.553878815736175,4.100100013609534,2.09820463721338
vocals,Drumtracks,/vol/vssp/maruss/data2/MUS2017/CHA/Test/013 - Drumtracks - Ghost Bitch/vocals.wav,CHA,Pop/Rock,1,Ghost Bitch,13,MUS2016,8.936737045086172,7.581770719287492,9.033485840648536,2.517715863345944
vocals,Fergessen,/vol/vssp/maruss/data2/MUS2017/CHA/Test/014 - Fergessen - Back From The Start/vocals.wav,CHA,Pop/Rock,1,Back From The Start,14,MUS2016,6.47273164834446,6.500629585542371,8.219712544596792,1.2562580382826791
vocals,Fergessen,/vol/vssp/maruss/data2/MUS2017/CHA/Test/015 - Fergessen - The Wind/vocals.wav,CHA,Pop/Rock,1,The Wind,15,MUS2016,7.625529780240973,7.82093198158655,9.395569524433851,2.113840868089658
vocals,Forkupines,/vol/vssp/maruss/data2/MUS2017/CHA/Test/016 - Forkupines - Semantics/vocals.wav,CHA,Pop/Rock,1,Semantics,16,MUS2016,1.0003985072699462,5.115397850430469,3.289093360018396,1.2865743979633684
vocals,Girls Under Glass,/vol/vssp/maruss/data2/MUS2017/CHA/Test/017 - Girls Under Glass - We Feel Alright/vocals.wav,CHA,Electronic,1,We Feel Alright,17,MUS2016,4.103612824732435,0.25433884019894265,9.21984084336561,-2.1099972970425283
vocals,Hollow Ground,/vol/vssp/maruss/data2/MUS2017/CHA/Test/018 - Hollow Ground - Ill Fate/vocals.wav,CHA,Heavy Metal,1,Ill Fate,18,MUS2016,0.8162716064493094,9.800694419194947,6.024614449473482,2.537169904677468
vocals,James Elder & Mark M Thompson,/vol/vssp/maruss/data2/MUS2017/CHA/Test/019 - James Elder & Mark M Thompson - The English Actor/vocals.wav,CHA,Heavy Metal,1,The English Actor,19,MUS2016,5.593987700379469,7.179984729377299,7.072444249213959,1.4649257628114016
vocals,James May,/vol/vssp/maruss/data2/MUS2017/CHA/Test/020 - James May - Dont Let Go/vocals.wav,CHA,Pop/Rock,1,Dont Let Go,20,MUS2016,5.863260938280401,1.89966777823738,12.144293247705624,-1.5176456204862028
vocals,James May,/vol/vssp/maruss/data2/MUS2017/CHA/Test/021 - James May - On The Line/vocals.wav,CHA,Pop/Rock,1,On The Line,21,MUS2016,4.986071257571568,8.160311600651728,8.315087634954361,1.7844140511294404
vocals,Johnny Lokke,/vol/vssp/maruss/data2/MUS2017/CHA/Test/022 - Johnny Lokke - Promises & Lies/vocals.wav,CHA,Pop/Rock,1,Promises & Lies,22,MUS2016,4.159163633608747,8.336726939780663,9.065044994017759,2.882474634920592
vocals,"Jokers, Jacks & Kings","/vol/vssp/maruss/data2/MUS2017/CHA/Test/023 - Jokers, Jacks & Kings - Sea Of Leaves/vocals.wav",CHA,Pop/Rock,1,Sea Of Leaves,23,MUS2016,5.384827079404024,4.370061893400616,11.126249779952635,0.8872850140872791
vocals,Leaf,/vol/vssp/maruss/data2/MUS2017/CHA/Test/024 - Leaf - Come Around/vocals.wav,CHA,Pop/Rock,1,Come Around,24,MUS2016,2.7270900213163847,5.482325273702533,7.910779973835234,1.356674475268392
vocals,Leaf,/vol/vssp/maruss/data2/MUS2017/CHA/Test/025 - Leaf - Wicked/vocals.wav,CHA,Pop/Rock,1,Wicked,25,MUS2016,5.872016664211675,11.706039453174956,7.064304771020005,2.9910130933512518
vocals,Louis Cressy Band,/vol/vssp/maruss/data2/MUS2017/CHA/Test/026 - Louis Cressy Band - Good Time/vocals.wav,CHA,Pop/Rock,1,Good Time,26,MUS2016,3.6249214918088937,6.385171949030442,13.612704653110216,1.6728622429205842
vocals,M.E.R.C. Music,/vol/vssp/maruss/data2/MUS2017/CHA/Test/027 - M.E.R.C. Music - Knockout/vocals.wav,CHA,Rap,1,Knockout,27,MUS2016,7.278071076980322,5.548228227483108,3.865201692750438,0.8113738137566118
vocals,Motor Tapes,/vol/vssp/maruss/data2/MUS2017/CHA/Test/028 - Motor Tapes - Shore/vocals.wav,CHA,Pop/Rock,1,Shore,28,MUS2016,6.852069515849163,3.185314215827992,7.07338357562633,-0.5832714401562796
vocals,Nerve 9,/vol/vssp/maruss/data2/MUS2017/CHA/Test/029 - Nerve 9 - Pray For The Rain/vocals.wav,CHA,Pop/Rock,1,Pray For The Rain,29,MUS2016,6.900351331435478,5.66323047068768,10.376794789406622,1.0778130149816278
vocals,Patrick Talbot,/vol/vssp/maruss/data2/MUS2017/CHA/Test/030 - Patrick Talbot - A Reason To Leave/vocals.wav,CHA,Jazz,1,A Reason To Leave,30,MUS2016,6.735822751459137,7.540819957857363,9.28136315069576,1.9705653552608804
vocals,Phre The Eon,/vol/vssp/maruss/data2/MUS2017/CHA/Test/031 - Phre The Eon - Everybody's Falling Apart/vocals.wav,CHA,Pop/Rock,1,Everybody's Falling Apart,31,MUS2016,2.5325653474256864,1.892434288129564,11.229126723863681,-1.4942132556543068
vocals,Raft Monk,/vol/vssp/maruss/data2/MUS2017/CHA/Test/032 - Raft Monk - Tiring/vocals.wav,CHA,Pop/Rock,1,Tiring,32,MUS2016,-0.924018873294149,5.371109328728304,2.4661838960489244,1.0028839321203595
vocals,Sambasevam Shanmugam,/vol/vssp/maruss/data2/MUS2017/CHA/Test/033 - Sambasevam Shanmugam - Kaathaadi/vocals.wav,CHA,Pop/Rock,1,Kaathaadi,33,MUS2016,7.307455254043043,8.210385501644385,8.276926738077009,1.850564195952766
vocals,Secretariat,/vol/vssp/maruss/data2/MUS2017/CHA/Test/034 - Secretariat - Over The Top/vocals.wav,CHA,Pop/Rock,1,Over The Top,34,MUS2016,4.4725871456598405,5.304888005917167,11.910854919588731,0.3421381132141166
vocals,Signe Jakobsen,/vol/vssp/maruss/data2/MUS2017/CHA/Test/035 - Signe Jakobsen - What Have You Done To Me/vocals.wav,CHA,Pop/Rock,1,What Have You Done To Me,35,MUS2016,7.3440577735218096,9.857393360959463,10.089854411945517,3.698888445887732
vocals,Spike Mullings,/vol/vssp/maruss/data2/MUS2017/CHA/Test/038 - Spike Mullings - Mike's Sulking/vocals.wav,CHA,Pop/Rock,1,Mike's Sulking,38,MUS2016,4.628946090610095,-0.002098974180362746,15.018313322577765,-1.5899002779933085
vocals,Swinging Steaks,/vol/vssp/maruss/data2/MUS2017/CHA/Test/039 - Swinging Steaks - Lost My Way/vocals.wav,CHA,Pop/Rock,1,Lost My Way,39,MUS2016,4.719808041154825,1.4799318340594882,9.852451321684008,-0.346613474381075
vocals,The Long Wait,/vol/vssp/maruss/data2/MUS2017/CHA/Test/040 - The Long Wait - Back Home To Blue/vocals.wav,CHA,Pop/Rock,1,Back Home To Blue,40,MUS2016,6.674270802322482,4.4059712672677085,12.138310524530272,0.6268633095588177
vocals,The Mountaineering Club,/vol/vssp/maruss/data2/MUS2017/CHA/Test/041 - The Mountaineering Club - Mallory/vocals.wav,CHA,Pop/Rock,1,Mallory,41,MUS2016,5.372805713530967,7.251217140038879,12.559268540283707,2.112753112805021
vocals,The Wrong'Uns,/vol/vssp/maruss/data2/MUS2017/CHA/Test/042 - The Wrong'Uns - Rothko/vocals.wav,CHA,Pop/Rock,1,Rothko,42,MUS2016,3.1783884899567854,8.182137322767955,9.157223644587082,1.1066897053205744
vocals,Traffic Experiment,/vol/vssp/maruss/data2/MUS2017/CHA/Test/045 - Traffic Experiment - Sirens/vocals.wav,CHA,Pop/Rock,1,Sirens,45,MUS2016,2.8013331491960147,5.7702783912067614,7.747612897422746,1.1921323940587696
vocals,Triviul,/vol/vssp/maruss/data2/MUS2017/CHA/Test/046 - Triviul - Dorothy/vocals.wav,CHA,Pop/Rock,1,Dorothy,46,MUS2016,5.545424887979591,10.205249700870477,8.73141515036901,3.6548174478503848
vocals,Voelund,/vol/vssp/maruss/data2/MUS2017/CHA/Test/047 - Voelund - Comfort Lives In Belief/vocals.wav,CHA,Pop/Rock,1,Comfort Lives In Belief,47,MUS2016,5.758780015101851,2.8488993455679448,10.280320694063967,1.396066111089822
vocals,We Fell From The Sky,/vol/vssp/maruss/data2/MUS2017/CHA/Test/048 - We Fell From The Sky - Not You/vocals.wav,CHA,Heavy Metal,1,Not You,48,MUS2016,-0.8278537973939072,7.09387402776947,5.321908907143142,1.3485508644612096
vocals,Young Griffo,/vol/vssp/maruss/data2/MUS2017/CHA/Test/049 - Young Griffo - Facade/vocals.wav,CHA,Heavy Metal,1,Facade,49,MUS2016,2.7771246660450104,4.059827781378618,8.28172588211918,1.455081729668772
vocals,Zeno,/vol/vssp/maruss/data2/MUS2017/CHA/Test/050 - Zeno - Signs/vocals.wav,CHA,Pop/Rock,1,Signs,50,MUS2016,6.948785202751343,4.724027022824696,10.027034735179257,0.9155282902941688
vocals,ANiMAL,/vol/vssp/maruss/data2/MUS2017/DUR/Test/001 - ANiMAL - Clinic A/vocals.wav,DUR,Rap,1,Clinic A,1,MUS2016,-0.021606381661294843,-2.2053994630612186,0.9571964068377664,0.6894409829366027
vocals,ANiMAL,/vol/vssp/maruss/data2/MUS2017/DUR/Test/002 - ANiMAL - Rockshow/vocals.wav,DUR,Rap,1,Rockshow,2,MUS2016,3.205511725613559,5.555049716146611,1.5965082896641332,1.4383458679624799
vocals,Actions,/vol/vssp/maruss/data2/MUS2017/DUR/Test/003 - Actions - One Minute Smile/vocals.wav,DUR,Pop/Rock,1,One Minute Smile,3,MUS2016,1.5269847746458851,9.310845354962016,1.0173822885393304,0.9478975844423592
vocals,Al James,/vol/vssp/maruss/data2/MUS2017/DUR/Test/004 - Al James - Schoolboy Facination/vocals.wav,DUR,Pop/Rock,1,Schoolboy Facination,4,MUS2016,4.4116804585045575,9.819388627939013,1.5239729436855614,1.4375481759288558
vocals,Angela Thomas Wade,/vol/vssp/maruss/data2/MUS2017/DUR/Test/005 - Angela Thomas Wade - Milk Cow Blues/vocals.wav,DUR,Country,1,Milk Cow Blues,5,MUS2016,3.999372360126932,5.2024901055747605,1.8843655532232884,1.6705521878503828
vocals,Atlantis Bound,/vol/vssp/maruss/data2/MUS2017/DUR/Test/006 - Atlantis Bound - It Was My Fault For Waiting/vocals.wav,DUR,Pop/Rock,1,It Was My Fault For Waiting,6,MUS2016,6.408999530292402,12.504214546229715,1.9002224285471567,1.8187921517627537
vocals,BKS,/vol/vssp/maruss/data2/MUS2017/DUR/Test/007 - BKS - Too Much/vocals.wav,DUR,Pop/Rock,1,Too Much,7,MUS2016,4.047597049051663,7.864342139804799,1.6409304219810517,1.5183997558416369
vocals,Bill Chudziak,/vol/vssp/maruss/data2/MUS2017/DUR/Test/008 - Bill Chudziak - Children Of No-one/vocals.wav,DUR,Pop/Rock,1,Children Of No-one,8,MUS2016,3.244323596110714,5.885610348149942,1.5999239799344644,1.44600484286856
vocals,Bobby Nobody,/vol/vssp/maruss/data2/MUS2017/DUR/Test/009 - Bobby Nobody - Stitch Up/vocals.wav,DUR,Pop/Rock,1,Stitch Up,9,MUS2016,2.2674202136877004,5.500375460214472,1.3596094942327088,1.2208218405655518
vocals,Carlos Gonzalez,/vol/vssp/maruss/data2/MUS2017/DUR/Test/010 - Carlos Gonzalez - A Place For Us/vocals.wav,DUR,Pop/Rock,1,A Place For Us,10,MUS2016,0.4218148974336645,4.8535388518743865,0.9707740041876982,0.8710721303351052
vocals,Cnoc An Tursa,/vol/vssp/maruss/data2/MUS2017/DUR/Test/011 - Cnoc An Tursa - Bannockburn/vocals.wav,DUR,Heavy Metal,1,Bannockburn,11,MUS2016,-1.5484236203793018,-7.040739855354702,0.4896345005345098,0.26408641649145115
vocals,Dark Ride,/vol/vssp/maruss/data2/MUS2017/DUR/Test/012 - Dark Ride - Burning Bridges/vocals.wav,DUR,Heavy Metal,1,Burning Bridges,12,MUS2016,1.5232630637325262,4.560887934245415,1.306726716045452,1.1519371849029287
vocals,Drumtracks,/vol/vssp/maruss/data2/MUS2017/DUR/Test/013 - Drumtracks - Ghost Bitch/vocals.wav,DUR,Pop/Rock,1,Ghost Bitch,13,MUS2016,6.159121203318893,11.693831818484487,1.7904656470219775,1.7117317408216262
vocals,Fergessen,/vol/vssp/maruss/data2/MUS2017/DUR/Test/014 - Fergessen - Back From The Start/vocals.wav,DUR,Pop/Rock,1,Back From The Start,14,MUS2016,2.9062352061491015,5.1610785909783585,1.420045268601577,1.2757472003287071
vocals,Fergessen,/vol/vssp/maruss/data2/MUS2017/DUR/Test/015 - Fergessen - The Wind/vocals.wav,DUR,Pop/Rock,1,The Wind,15,MUS2016,2.1766113027959078,8.016540938021997,1.1741826568385505,1.0869074037466355
vocals,Forkupines,/vol/vssp/maruss/data2/MUS2017/DUR/Test/016 - Forkupines - Semantics/vocals.wav,DUR,Pop/Rock,1,Semantics,16,MUS2016,3.4661309217934155,3.513135761795936,1.7559871010478398,1.5124622443851734
vocals,Girls Under Glass,/vol/vssp/maruss/data2/MUS2017/DUR/Test/017 - Girls Under Glass - We Feel Alright/vocals.wav,DUR,Electronic,1,We Feel Alright,17,MUS2016,1.6803196668694431,-1.3210502929500467,1.2535237061659743,0.9338347654305964
vocals,Hollow Ground,/vol/vssp/maruss/data2/MUS2017/DUR/Test/018 - Hollow Ground - Ill Fate/vocals.wav,DUR,Heavy Metal,1,Ill Fate,18,MUS2016,-0.389270684177716,-3.699078180157645,0.5197681273332448,0.4024557672078105
vocals,James Elder & Mark M Thompson,/vol/vssp/maruss/data2/MUS2017/DUR/Test/019 - James Elder & Mark M Thompson - The English Actor/vocals.wav,DUR,Heavy Metal,1,The English Actor,19,MUS2016,2.1027662987541498,7.976036163319846,1.3501476722756998,1.2328098614569811
vocals,James May,/vol/vssp/maruss/data2/MUS2017/DUR/Test/020 - James May - Dont Let Go/vocals.wav,DUR,Pop/Rock,1,Dont Let Go,20,MUS2016,5.18074668875933,9.839604877156788,1.9673510211893768,1.8404749877851363
vocals,James May,/vol/vssp/maruss/data2/MUS2017/DUR/Test/021 - James May - On The Line/vocals.wav,DUR,Pop/Rock,1,On The Line,21,MUS2016,5.794965007052144,9.167881672301448,1.9020588023756868,1.7823924719276707
vocals,Johnny Lokke,/vol/vssp/maruss/data2/MUS2017/DUR/Test/022 - Johnny Lokke - Promises & Lies/vocals.wav,DUR,Pop/Rock,1,Promises & Lies,22,MUS2016,5.248132014517224,9.01126441435928,1.8543289218751808,1.7391132776640412
vocals,"Jokers, Jacks & Kings","/vol/vssp/maruss/data2/MUS2017/DUR/Test/023 - Jokers, Jacks & Kings - Sea Of Leaves/vocals.wav",DUR,Pop/Rock,1,Sea Of Leaves,23,MUS2016,4.317663984366634,4.772600861266943,1.9016060502369885,1.6815274890382823
vocals,Leaf,/vol/vssp/maruss/data2/MUS2017/DUR/Test/024 - Leaf - Come Around/vocals.wav,DUR,Pop/Rock,1,Come Around,24,MUS2016,3.6752020791689946,9.355312474211168,1.5848619148789167,1.4734422277334542
vocals,Leaf,/vol/vssp/maruss/data2/MUS2017/DUR/Test/025 - Leaf - Wicked/vocals.wav,DUR,Pop/Rock,1,Wicked,25,MUS2016,3.482390154914672,3.058374832881665,1.5663960857998287,1.3590994917711672
vocals,Louis Cressy Band,/vol/vssp/maruss/data2/MUS2017/DUR/Test/026 - Louis Cressy Band - Good Time/vocals.wav,DUR,Pop/Rock,1,Good Time,26,MUS2016,1.7373477438638372,1.133936604051044,1.5815349482411047,1.2387416701958764
vocals,M.E.R.C. Music,/vol/vssp/maruss/data2/MUS2017/DUR/Test/027 - M.E.R.C. Music - Knockout/vocals.wav,DUR,Rap,1,Knockout,27,MUS2016,2.802218102948952,4.549181086459822,1.318541615818315,1.1885505335872573
vocals,Motor Tapes,/vol/vssp/maruss/data2/MUS2017/DUR/Test/028 - Motor Tapes - Shore/vocals.wav,DUR,Pop/Rock,1,Shore,28,MUS2016,3.7388898592934217,8.717460598259933,1.5948138181337068,1.4758197963750883
vocals,Nerve 9,/vol/vssp/maruss/data2/MUS2017/DUR/Test/029 - Nerve 9 - Pray For The Rain/vocals.wav,DUR,Pop/Rock,1,Pray For The Rain,29,MUS2016,3.341902991821477,3.9983936381383054,1.5810562999407938,1.3890485972481068
vocals,Patrick Talbot,/vol/vssp/maruss/data2/MUS2017/DUR/Test/030 - Patrick Talbot - A Reason To Leave/vocals.wav,DUR,Jazz,1,A Reason To Leave,30,MUS2016,4.656976018456344,4.9632012350025665,1.8799259672413464,1.6791213615081544
vocals,Phre The Eon,/vol/vssp/maruss/data2/MUS2017/DUR/Test/031 - Phre The Eon - Everybody's Falling Apart/vocals.wav,DUR,Pop/Rock,1,Everybody's Falling Apart,31,MUS2016,2.7647422668954635,-0.32036952770502725,1.94536158451564,1.3585688960894606
vocals,Raft Monk,/vol/vssp/maruss/data2/MUS2017/DUR/Test/032 - Raft Monk - Tiring/vocals.wav,DUR,Pop/Rock,1,Tiring,32,MUS2016,2.4830611123896738,5.121267678898712,1.1312631908480486,1.0272947630829292
vocals,Sambasevam Shanmugam,/vol/vssp/maruss/data2/MUS2017/DUR/Test/033 - Sambasevam Shanmugam - Kaathaadi/vocals.wav,DUR,Pop/Rock,1,Kaathaadi,33,MUS2016,4.7129004766407245,11.058868098680888,1.7480434499379285,1.6470982038429527
vocals,Secretariat,/vol/vssp/maruss/data2/MUS2017/DUR/Test/034 - Secretariat - Over The Top/vocals.wav,DUR,Pop/Rock,1,Over The Top,34,MUS2016,3.1339195125296397,1.8391118450534008,1.7044048847425084,1.3915843894154811
vocals,Signe Jakobsen,/vol/vssp/maruss/data2/MUS2017/DUR/Test/035 - Signe Jakobsen - What Have You Done To Me/vocals.wav,DUR,Pop/Rock,1,What Have You Done To Me,35,MUS2016,2.4842279904630784,7.80446525294966,1.314186505203459,1.209845655117623
vocals,Spike Mullings,/vol/vssp/maruss/data2/MUS2017/DUR/Test/038 - Spike Mullings - Mike's Sulking/vocals.wav,DUR,Pop/Rock,1,Mike's Sulking,38,MUS2016,0.35736802509646515,2.4683512977191557,1.2437523590040338,1.0210780248756943
vocals,Swinging Steaks,/vol/vssp/maruss/data2/MUS2017/DUR/Test/039 - Swinging Steaks - Lost My Way/vocals.wav,DUR,Pop/Rock,1,Lost My Way,39,MUS2016,0.18291393560946265,4.21417448753939,1.0405688961366246,0.9055003585626352
vocals,The Long Wait,/vol/vssp/maruss/data2/MUS2017/DUR/Test/040 - The Long Wait - Back Home To Blue/vocals.wav,DUR,Pop/Rock,1,Back Home To Blue,40,MUS2016,4.320061719421855,6.8870875780250005,1.7883823974557838,1.6354772019834132
vocals,The Mountaineering Club,/vol/vssp/maruss/data2/MUS2017/DUR/Test/041 - The Mountaineering Club - Mallory/vocals.wav,DUR,Pop/Rock,1,Mallory,41,MUS2016,2.283994273609244,3.9662127124232818,1.6183937543624427,1.3936241313148707
vocals,The Wrong'Uns,/vol/vssp/maruss/data2/MUS2017/DUR/Test/042 - The Wrong'Uns - Rothko/vocals.wav,DUR,Pop/Rock,1,Rothko,42,MUS2016,6.53050786675993,12.208944665127339,1.840478531407624,1.7631777378453646
vocals,Traffic Experiment,/vol/vssp/maruss/data2/MUS2017/DUR/Test/045 - Traffic Experiment - Sirens/vocals.wav,DUR,Pop/Rock,1,Sirens,45,MUS2016,0.6597020659726407,0.8342404322976835,1.1183923387276833,0.9068070507027328
vocals,Triviul,/vol/vssp/maruss/data2/MUS2017/DUR/Test/046 - Triviul - Dorothy/vocals.wav,DUR,Pop/Rock,1,Dorothy,46,MUS2016,-1.2927661429613526,7.5301279227531825,0.7761656811999652,0.6981241411118833
vocals,Voelund,/vol/vssp/maruss/data2/MUS2017/DUR/Test/047 - Voelund - Comfort Lives In Belief/vocals.wav,DUR,Pop/Rock,1,Comfort Lives In Belief,47,MUS2016,-0.26926200735984,1.1840649036349868,0.7675913455107317,0.6573204160438746
vocals,We Fell From The Sky,/vol/vssp/maruss/data2/MUS2017/DUR/Test/048 - We Fell From The Sky - Not You/vocals.wav,DUR,Heavy Metal,1,Not You,48,MUS2016,1.9354854623360545,-2.9318459520378264,1.2464290995987473,0.8273528354270153
vocals,Young Griffo,/vol/vssp/maruss/data2/MUS2017/DUR/Test/049 - Young Griffo - Facade/vocals.wav,DUR,Heavy Metal,1,Facade,49,MUS2016,2.8127006398095333,-0.062442678687526385,1.440547490165314,1.1414297897453851
vocals,Zeno,/vol/vssp/maruss/data2/MUS2017/DUR/Test/050 - Zeno - Signs/vocals.wav,DUR,Pop/Rock,1,Signs,50,MUS2016,4.534841098906743,7.01309360707333,1.6589365414571788,1.5327265514211497
vocals,ANiMAL,/vol/vssp/maruss/data2/MUS2017/GRA2/Test/001 - ANiMAL - Clinic A/vocals.wav,GRA2,Rap,1,Clinic A,1,MUS2016,0.45094962036147296,0.05604336246584556,-3.612145913605073,-4.907450788900052
vocals,ANiMAL,/vol/vssp/maruss/data2/MUS2017/GRA2/Test/002 - ANiMAL - Rockshow/vocals.wav,GRA2,Rap,1,Rockshow,2,MUS2016,3.462285580865497,10.006723835577436,-4.82269195290769,-5.278263888141968
vocals,Actions,/vol/vssp/maruss/data2/MUS2017/GRA2/Test/003 - Actions - One Minute Smile/vocals.wav,GRA2,Pop/Rock,1,One Minute Smile,3,MUS2016,3.528983939625503,12.52049920441541,-4.304122269984686,-4.654622785415036
vocals,Al James,/vol/vssp/maruss/data2/MUS2017/GRA2/Test/004 - Al James - Schoolboy Facination/vocals.wav,GRA2,Pop/Rock,1,Schoolboy Facination,4,MUS2016,2.605707799019243,11.980233090591845,-4.123140387342119,-4.529518517704017
vocals,Angela Thomas Wade,/vol/vssp/maruss/data2/MUS2017/GRA2/Test/005 - Angela Thomas Wade - Milk Cow Blues/vocals.wav,GRA2,Country,1,Milk Cow Blues,5,MUS2016,4.153258728585186,7.625934388973391,-5.412593345244911,-5.962744173839594
vocals,Atlantis Bound,/vol/vssp/maruss/data2/MUS2017/GRA2/Test/006 - Atlantis Bound - It Was My Fault For Waiting/vocals.wav,GRA2,Pop/Rock,1,It Was My Fault For Waiting,6,MUS2016,6.674396582376633,16.521648101779398,-5.262542703466231,-5.478015258190409
vocals,BKS,/vol/vssp/maruss/data2/MUS2017/GRA2/Test/007 - BKS - Too Much/vocals.wav,GRA2,Pop/Rock,1,Too Much,7,MUS2016,3.8913321412343262,17.937545498113828,-4.4030530320442685,-4.705045791676847
vocals,Bill Chudziak,/vol/vssp/maruss/data2/MUS2017/GRA2/Test/008 - Bill Chudziak - Children Of No-one/vocals.wav,GRA2,Pop/Rock,1,Children Of No-one,8,MUS2016,4.346823825307734,13.555737037612484,-4.9132235431285824,-5.253363932368863
vocals,Bobby Nobody,/vol/vssp/maruss/data2/MUS2017/GRA2/Test/009 - Bobby Nobody - Stitch Up/vocals.wav,GRA2,Pop/Rock,1,Stitch Up,9,MUS2016,3.4853941926288328,14.547774280215455,-4.575247425739445,-4.935838401409808
vocals,Carlos Gonzalez,/vol/vssp/maruss/data2/MUS2017/GRA2/Test/010 - Carlos Gonzalez - A Place For Us/vocals.wav,GRA2,Pop/Rock,1,A Place For Us,10,MUS2016,1.6779939594317912,9.950558487424368,-3.897268860244662,-4.382502949191763
vocals,Cnoc An Tursa,/vol/vssp/maruss/data2/MUS2017/GRA2/Test/011 - Cnoc An Tursa - Bannockburn/vocals.wav,GRA2,Heavy Metal,1,Bannockburn,11,MUS2016,-2.710655285768475,6.2306413777358385,-2.3407003633768757,-3.0413310602013253
vocals,Dark Ride,/vol/vssp/maruss/data2/MUS2017/GRA2/Test/012 - Dark Ride - Burning Bridges/vocals.wav,GRA2,Heavy Metal,1,Burning Bridges,12,MUS2016,0.035148461433622484,10.755649405224988,-3.1321096826978705,-3.620443277543513
vocals,Drumtracks,/vol/vssp/maruss/data2/MUS2017/GRA2/Test/013 - Drumtracks - Ghost Bitch/vocals.wav,GRA2,Pop/Rock,1,Ghost Bitch,13,MUS2016,5.259285942110148,12.508914353368715,-4.893112756265875,-5.191475059827882
vocals,Fergessen,/vol/vssp/maruss/data2/MUS2017/GRA2/Test/014 - Fergessen - Back From The Start/vocals.wav,GRA2,Pop/Rock,1,Back From The Start,14,MUS2016,4.679271006898748,11.932480423712358,-4.7845886811597325,-5.1259898991019455
vocals,Fergessen,/vol/vssp/maruss/data2/MUS2017/GRA2/Test/015 - Fergessen - The Wind/vocals.wav,GRA2,Pop/Rock,1,The Wind,15,MUS2016,5.1260680850833245,13.903524530060912,-4.936331312245444,-5.2290132146762485
vocals,Forkupines,/vol/vssp/maruss/data2/MUS2017/GRA2/Test/016 - Forkupines - Semantics/vocals.wav,GRA2,Pop/Rock,1,Semantics,16,MUS2016,2.1543000020265404,15.764267908733745,-3.9381057536912993,-4.330566200196964
